CaseName,TimeStep,B0x,B0y,B0z,ns,__CatalystChannel__,TimeValue,ScalarField,FILE
GEM_0,0,0.0195,0,0,4,particles,0,mag(B),data/GEM_0_0_0.0195_0_0_4_particles_0_mag(B).vtu
GEM_0,0,0.0195,0,0,4,particles,0,Bz,data/GEM_0_0_0.0195_0_0_4_particles_0_Bz.vtu
GEM_0,2450,0.0195,0,0,4,particles,612.5,mag(B),data/GEM_0_2450_0.0195_0_0_4_particles_612.5_mag(B).vtu
GEM_0,2450,0.0195,0,0,4,particles,612.5,Bz,data/GEM_0_2450_0.0195_0_0_4_particles_612.5_Bz.vtu
GEM_0,2451,0.0195,0,0,4,particles,612.75,mag(B),data/GEM_0_2451_0.0195_0_0_4_particles_612.75_mag(B).vtu
GEM_0,2451,0.0195,0,0,4,particles,612.75,Bz,data/GEM_0_2451_0.0195_0_0_4_particles_612.75_Bz.vtu
GEM_0,2452,0.0195,0,0,4,particles,613,mag(B),data/GEM_0_2452_0.0195_0_0_4_particles_613_mag(B).vtu
GEM_0,2452,0.0195,0,0,4,particles,613,Bz,data/GEM_0_2452_0.0195_0_0_4_particles_613_Bz.vtu
GEM_0,2453,0.0195,0,0,4,particles,613.25,mag(B),data/GEM_0_2453_0.0195_0_0_4_particles_613.25_mag(B).vtu
GEM_0,2453,0.0195,0,0,4,particles,613.25,Bz,data/GEM_0_2453_0.0195_0_0_4_particles_613.25_Bz.vtu
GEM_0,2454,0.0195,0,0,4,particles,613.5,mag(B),data/GEM_0_2454_0.0195_0_0_4_particles_613.5_mag(B).vtu
GEM_0,2454,0.0195,0,0,4,particles,613.5,Bz,data/GEM_0_2454_0.0195_0_0_4_particles_613.5_Bz.vtu
GEM_0,2455,0.0195,0,0,4,particles,613.75,mag(B),data/GEM_0_2455_0.0195_0_0_4_particles_613.75_mag(B).vtu
GEM_0,2455,0.0195,0,0,4,particles,613.75,Bz,data/GEM_0_2455_0.0195_0_0_4_particles_613.75_Bz.vtu
GEM_0,2456,0.0195,0,0,4,particles,614,mag(B),data/GEM_0_2456_0.0195_0_0_4_particles_614_mag(B).vtu
GEM_0,2456,0.0195,0,0,4,particles,614,Bz,data/GEM_0_2456_0.0195_0_0_4_particles_614_Bz.vtu
